location_id,start_month,end_month,type_count,type_id,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
1760607,8,10,1,2195,9,subspecies,Italian plum,Prunus domestica subsp. domestica 'Italian',
1760608,9,10,1,1885,9,subspecies,Bartlett pear,Pyrus communis 'Bartlett',
1760613,9,,1,120,6,genus,Hazel,Corylus,
1760618,9,10,1,20,8,species,Common fig,Ficus carica,
1760622,9,11,1,70,6,genus,Chestnut,Castanea,
1760661,9,10,1,16,6,genus,Grape,Vitis,
1760644,9,9,1,294,8,species,Common hazel,Corylus avellana,
1760647,6,7,1,96,8,species,Black mulberry,Morus nigra,
1760648,6,7,1,96,8,species,Black mulberry,Morus nigra,
611517,9,11,1,73,6,genus,Walnut,Juglans,
1760650,9,9,1,114,6,genus,Apple,Malus,
1760659,10,10,1,73,6,genus,Walnut,Juglans,
1760656,10,11,1,303,8,species,Jelly palm,Butia capitata,"Butia odorata, Cocos capitata"
1760653,7,10,2,68,8,species,Almond,Prunus amygdalus,"Prunus dulcis, Amygdalus communis, Amygdalus dulcis"
1760653,7,10,2,4591,9,subspecies,Bitter almond,Prunus amygdalus var. amara,
1760660,9,9,1,114,6,genus,Apple,Malus,
1760672,9,,1,266,8,species,Black tupelo,Nyssa sylvatica,
1760677,8,9,1,115,6,genus,Serviceberry,Amelanchier,
1760678,7,8,1,115,6,genus,Serviceberry,Amelanchier,
1718075,8,9,1,114,6,genus,Apple,Malus,
1760680,9,10,1,172,6,genus,Hawthorn,Crataegus,
1760718,8,10,1,2422,8,species,Red raspberry,Rubus idaeus,
1760720,8,10,1,2194,7,multispecies,Crabapple,Malus,
1760721,8,10,1,2422,8,species,Red raspberry,Rubus idaeus,
1760741,8,10,1,631,8,species,Trifoliate orange,Citrus trifoliata,Poncirus trifoliata
1760747,6,6,1,115,6,genus,Serviceberry,Amelanchier,
1760748,6,6,1,115,6,genus,Serviceberry,Amelanchier,
1760776,9,12,1,363,8,species,Sweet chestnut,Castanea sativa,
1760777,8,10,1,48,7,multispecies,Blackberry,Rubus,
1760783,8,9,1,116,8,species,Pawpaw,Asimina triloba,
1760781,8,9,1,116,8,species,Pawpaw,Asimina triloba,
1760784,9,10,1,114,6,genus,Apple,Malus,
1760790,9,10,2,15,6,genus,Pear,Pyrus,
1760790,9,10,2,114,6,genus,Apple,Malus,
1760791,9,10,1,92,6,genus,Mulberry,Morus,
1760792,9,,1,114,6,genus,Apple,Malus,
1760795,7,10,1,4420,9,subspecies,Apple,Malus pumila 'Starking',
1760796,10,,1,272,8,species,Silver maple,Acer saccharinum,
1760802,9,10,1,48,7,multispecies,Blackberry,Rubus,
