type_id,count,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
5194,2,8,species,Air yam,Dioscorea bulbifera,
5208,2,9,subspecies,Herefordshire Russet apple,Malus pumila 'Herefordshire Russet',Malus pumila 'Hereford Russet'
5207,2,9,subspecies,Bradbourne Black cherry,Prunus avium 'Bradbourne Black',
7658,2,8,species,wild lowbush blueberry,Vaccinium angustifolium,
5285,2,8,species,Castor bean,Ricinus communis,
5359,2,9,subspecies,Cantaloupe,Cucumis melo var. cantalupo,
393,2,8,species,Moundlily yucca,Yucca gloriosa,
5350,2,9,subspecies,Satsuma plum,Prunus salicina 'Satsuma',
408,2,8,species,Chinese quince,Pseudocydonia sinensis,
762,2,6,genus,Savory,Satureja,
5366,2,8,species,Bastard cabbage,Rapistrum rugosum,
5434,2,9,subspecies,Red Delicious apple,Malus pumila 'Red Delicious',
832,2,8,species,Kei apple,Dovyalis caffra,
776,2,8,species,Madras thorn,Pithecellobium dulce,
5477,2,9,subspecies,Indian Magic crabapple,Malus x 'Indian Magic',
5438,2,8,species,rainbow trout,Oncorhynchus mykiss,
5570,2,8,species,Pineapple sage,Salvia elegans,
5543,2,8,species,Yatay palm,Butia yatay,
5528,2,6,genus,Bougainvillea,Bougainvillea,
5517,2,8,species,Australian raspberry,Rubus parvifolius,
5539,2,0,polyphyletic,freshwater bivalve,Bivalvia,
756,2,8,species,Mangaba,Hancornia speciosa,
5624,2,9,subspecies,Fortune apple,Malus pumila 'Laxton's Fortune',Malus pumila 'Fortune'
5617,2,6,genus,Speedwell,Veronica,
5611,2,9,subspecies,Pink Pearl apple,Malus pumila 'Pink Pearl',
5759,2,9,subspecies,Apple,Malus pumila 'Antonovka',
577,2,8,species,Curve-leaf yucca,Yucca recurvifolia,"Yucca gloriosa tristis, Yucca gloriosa recurvifolia"
523,2,8,species,Cassava,Manihot esculenta,
5730,2,7,multispecies,pluot,Prunus,
366,2,8,species,Sweet osmanthus,Osmanthus fragrans,
5728,2,9,subspecies,Apricot,Prunus armeniaca 'Gold Kist',
5724,2,9,subspecies,Mandarin,Citrus reticulata 'Algerian',
996,2,8,species,Red horse-chestnut,Aesculus x carnea,"Aesculus x briottii, Aesculus x plantierensis"
5894,2,8,species,pepper dulse,Osmundea pinnatifida,
5861,2,8,species,fireweed,Chamaenerion angustifolium,
980,2,8,species,Chinese elm,Ulmus parvifolia,
1289,2,8,species,Pochote,Ceiba acuminata,
6108,2,8,species,mock strawberry,Potentilla indica,
6064,2,9,subspecies,apple,Malus pumila 'Baronie',Malus domestica 'Baronie'
1627,2,8,species,Scarlet beebalm,Monarda didyma,
729,2,9,subspecies,Brussels sprout,Brassica oleracea var. gemmifera,
1366,2,8,species,Peach-palm,Bactris gasipaes,
1335,2,8,species,Pinkflower hedgehog cactus,Echinocereus fasciculatus,
6139,2,9,subspecies,muscadine,Vitis rotundifolia 'Scuppernong',
6138,2,9,subspecies,hardy kiwi,Actinidia arguta 'Issai',
1348,2,8,species,Bottlebrush buckeye,Aesculus parviflora,"Aesculus macrostachya, Pavia macrostachya"
4483,2,8,species,Chinese privet,Ligustrum sinense,Ligustrum villosum
374,2,8,species,California nutmeg,Torreya californica,
2699,2,8,species,Foxtail palm,Wodyetia bifurcata,
4091,2,8,species,White coral fungus,Clavulina cristata,"Clavulina coralloides, Clavaria coralloides, Clavaria elegans"
4667,2,8,species,Bear's-head tooth fungus,Hericium americanum,
2282,2,8,species,Katsura,Cercidiphyllum japonicum,
133,2,8,species,Gasplant,Dictamnus albus,Dictamnus fraxinella
872,2,6,genus,Willow,Salix,
221,2,8,species,Star apple,Chrysophyllum cainito,Achras cainito
6224,2,8,species,Colombian walnut,Juglans neotropica,
6226,2,8,species,basul,Erythrina edulis,
6227,2,8,species,sparkleberry,Vaccinium arboreum,
6234,2,8,species,San Luis purple sage,Salvia leucophylla,
6191,2,8,species,fly amanita,Amanita muscaria,
1819,2,8,species,Weeping willow,Salix vitellina,
6349,2,8,species,pheasant's back mushroom,Cerioporus squamosus,
6339,2,8,species,round-leaved mintbush,Prostanthera rotundifolia,
1218,2,8,species,Babisa,Brahea brandegeei,
414,2,8,species,Japanese chestnut,Castanea crenata,
